Título	Autor	Editora	Ano	ISBN	Idioma	Capa	Páginas	Altura (cm)	Largura (cm)	Peso (g)	Estante	Preço R$	Frete R$	Total R$	Fotos
1776	David McCullough	Zahar	2006	9788571109216	Português	Mole	424	23	16	690	História	50	15.40	65.40	https://wa.me/5511981350566?text=Oi! Quero fotos do 1776, de David McCullough
1822	Laurentino Gomes	Nova Fronteira	2010	9788520927755	Português	Mole	352	20	13	356	História	15	11.45	26.45	https://wa.me/5511981350566?text=Oi! Quero fotos do 1822, de Laurentino Gomes
1984	George Orwell	Nacional	1979	ND	Português	Mole	278	21	14	334	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do 1984, de George Orwell
10 piratas animados	Dean Gray; Justine Ablett	Ciranda Cultural	2017	9788538077060	Português	Dura	18	23	23	429	Infantil	30	12.20	42.20	https://wa.me/5511981350566?text=Oi! Quero fotos do 10 piratas animados, de Dean Gray; Justine Ablett
100 anos de arte belga: Do impressionismo ao abstracionismo	Curadoria Laura Neves	SESI SP	2018	9788581700557	Português	Mole	176	25	20	792	Artes	15	16.65	31.65	https://wa.me/5511981350566?text=Oi! Quero fotos do 100 anos de arte belga: Do impressionismo ao abstracionismo, de Curadoria Laura Neves
100 ensaios	Felipe Miranda	Empiricus	2017	9788592581114	Português	Mole	386	21	14	558	Negócios	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do 100 ensaios, de Felipe Miranda
100 respostas: Saiba mais sobre tudo	Vida Simples	Abril	ND	ND	Português	Mole	210	15	11	170	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do 100 respostas: Saiba mais sobre tudo, de Vida Simples
100 vezes Ique no Estadão	Estadão	O Estado de S. Paulo	ND	ND	Português	Mole	112	20	20	245	Humor	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do 100 vezes Ique no Estadão, de Estadão
10x sem juros	Samy Dana; Marcos Cordeiro Pires	Saraiva	2008	9788502067486	Português	Mole	96	21	14	170	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do 10x sem juros, de Samy Dana; Marcos Cordeiro Pires
15 de julho de 2025	Netherlands	Netherlands	ND	ND	Inglês	Dura	76	20	15	344	Fotografia	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do 15 de julho de 2025, de Netherlands
150 movies you should die before you see	Steve Miller	Adams	2010	9781440503627	Inglês	Mole	304	21	14	390	Cinema	30	11.45	41.45	https://wa.me/5511981350566?text=Oi! Quero fotos do 150 movies you should die before you see, de Steve Miller
2013 almanac for kids	Scholastic	Scholastic	2012	9780545447829	Inglês	Mole	352	23	15	610	Infantil	10	14.85	24.85	https://wa.me/5511981350566?text=Oi! Quero fotos do 2013 almanac for kids, de Scholastic
5 atitudes pela educação: Orientações para coordenadores pedagógicos	Ana Maria Machado; Outros	Moderna	2014	9788516096328	Português	Mole	118	24	17	231	Pedagogia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do 5 atitudes pela educação: Orientações para coordenadores pedagógicos, de Ana Maria Machado; Outros
60 histórias para dormir, vol. 5	Disney	DLC	2017	9788536822402	Português	Mole	64	23	17	110	Infantil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do 60 histórias para dormir, vol. 5, de Disney
7 décadas de futebol	Milton Bigucci	Loyola	2014	9788590032458	Português	Mole	244	21	14	470	História	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do 7 décadas de futebol, de Milton Bigucci
A arte de amolar o boi	Eduardo Almeira Reis	Círculo do Livro	ND	ND	Português	Dura	188	20	13	333	Literatura Brasileira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A arte de amolar o boi, de Eduardo Almeira Reis
A arte do jogo	Chad Harbach	Intrínseca	2013	9788580572759	Português	Mole	496	23	16	670	Literatura Estrangeira	10	15.40	25.40	https://wa.me/5511981350566?text=Oi! Quero fotos do A arte do jogo, de Chad Harbach
A baleiazinha	Pedro Bandeira; Cárcamo	Melhoramentos	2003	9788506039977	Português	Mole	24	24	17	97	Infantil	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A baleiazinha, de Pedro Bandeira; Cárcamo
A bend in the road	Nicholas Sparks	Warner	2002	9780446611862	Inglês	Mole	368	17	11	210	Literatura Estrangeira	15	9.20	24.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A bend in the road, de Nicholas Sparks
A Bíblia da mulher: Leitura, devocional, estudo	Sociedade Bíblica do Brasil	Sociedade Bíblica do Brasil	2014	9788521813781	Português	Mole	1936	26	17	1426	Religião	100	25.45	125.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Bíblia da mulher: Leitura, devocional, estudo, de Sociedade Bíblica do Brasil
A boa memória	Sankara	Ediouro	1979	9788500680588	Português	Mole	152	21	14	198	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A boa memória, de Sankara
A boy in danger	Israel Jelin	McGraw Hill	1986	9780074500972	Inglês	Mole	32	18	11	55	Juvenil	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A boy in danger, de Israel Jelin
A bruxa de Portobello	Paulo Coelho	Planeta	2006	9788576652175	Português	Mole	296	20	13	320	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A bruxa de Portobello, de Paulo Coelho
A busca do equilíbrio: Integração psicofísica e terapia vibratória	Rita J. Mcnamara	Ground	1991	9788571870239	Português	Mole	158	21	14	213	Autoajuda	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A busca do equilíbrio: Integração psicofísica e terapia vibratória, de Rita J. Mcnamara
A busca dos óculos de Graal	Derico Sciotti; Ciro Araújo	BestSeller	1995	9788571234659	Português	Mole	156	25	16	320	Humor	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A busca dos óculos de Graal, de Derico Sciotti; Ciro Araújo
À caça de Harry Winston	Lauren Weisberger	Record	2009	9788501086174	Português	Mole	430	21	14	610	Literatura Estrangeira	10	14.85	24.85	https://wa.me/5511981350566?text=Oi! Quero fotos do À caça de Harry Winston, de Lauren Weisberger
A caixa de Pandora	Dora Panofsky	Companhia das Letras	2009	9788535914252	Português	Mole	256	23	16	517	Artes	30	13.50	43.50	https://wa.me/5511981350566?text=Oi! Quero fotos do A caixa de Pandora, de Dora Panofsky
A casa de Bernarda Alba	Federico García Lorca	LDA	1988	ND	Português	Mole	96	18	13	88	Teatro	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A casa de Bernarda Alba, de Federico García Lorca
A chave do tamanho	Monteiro, Lobato	Brasiliense	1997	9788511190014	Português	Mole	88	28	21	249	Infantil	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A chave do tamanho, de Monteiro, Lobato
A cidade	Melanie Wallace	ARX	2008	9788575812938	Português	Mole	224	21	14	280	Literatura Estrangeira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do A cidade, de Melanie Wallace
A cidade e as serras	Eça de Queiroz	Ediouro	ND	ND	Português	Mole	296	18	11	257	Literatura Estrangeira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do A cidade e as serras, de Eça de Queiroz
A comunicação (des)integradora na América Latina	Maria Nazareth Ferreira	EDICON	ND	ND	Português	Mole	106	21	14	153	História	90	8.55	98.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A comunicação (des)integradora na América Latina, de Maria Nazareth Ferreira
A construção da riqueza	Lester C. Thurow	Rocco	2001	9788532512468	Português	Mole	268	23	16	396	Negócios	15	11.45	26.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A construção da riqueza, de Lester C. Thurow
A criação do Fundo de Garantia do Mercosul: Vantagens e proposta	Rodrigo Azevedo Santos	Fundação Alexandre de Gusmã	2011	9788576313212	Português	Mole	272	23	16	423	Negócios	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A criação do Fundo de Garantia do Mercosul: Vantagens e proposta, de Rodrigo Azevedo Santos
A crise e seus efeitos	Manuel Castells, Gustavo Cardoso, João Caraça (Orgs)	Paz & Terra	2013	9788577532599	Português	Mole	420	23	16	584	Sociologia	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do A crise e seus efeitos, de Manuel Castells, Gustavo Cardoso, João Caraça (Orgs)
A dama das camélias	Alexandre Dumas Filho	Tecnoprint	ND	ND	Português	Mole	124	18	11	91	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A dama das camélias, de Alexandre Dumas Filho
A dama das camélias - tomo 1	Alexandre Dumas	LDA	1988	ND	Português	Mole	96	18	13	89	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A dama das camélias - tomo 1, de Alexandre Dumas
A dama das camélias - tomo 2	Alexandre Dumas	LDA	1988	ND	Português	Mole	96	18	13	90	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A dama das camélias - tomo 2, de Alexandre Dumas
A dieta do abdômen	David Zinczenko; Ted Spiker	Sextante	2005	9788575421932	Português	Mole	250	23	16	430	Saúde	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A dieta do abdômen, de David Zinczenko; Ted Spiker
A dieta maravilhosa de 4 dias	Margaret Danbrot	Record	2000	9788501027214	Português	Mole	158	21	14	214	Saúde	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A dieta maravilhosa de 4 dias, de Margaret Danbrot
A dinastia Nomura	Al Alletzhauser	Best Seller	1990	9788571231832	Português	Mole	356	21	14	439	Negócios	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A dinastia Nomura, de Al Alletzhauser
A Divina Comédia - Inferno	Dante Alighieri	Abril	2010	9788579710063	Português	Dura	432	21	13	421	Literatura Estrangeira	30	12.20	42.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Divina Comédia - Inferno, de Dante Alighieri
